用户名,等级,评论内容,日期,点赞数,页数,parent_id,rpid,oid,pagination_str
-狩矢,5,衣带渐宽终不悔，为伊消得人憔悴。,2025-11-22 18:37:35,32,1,281133965489,283196453136,115579969085266,CAEiAggC
汪咩喵唧,5,憔悴，浮肿。感觉看到太多黑暗对人也是折磨。,2025-11-23 22:57:31,73,1,281133965489,281444987041,115579969085266,CAEiAggC
回归平淡人生,5,虚岁都快50了，老了也正常,2025-11-23 23:20:33,18,1,281133965489,283328541008,115579969085266,CAEiAggC
诺期zzz,2,老师私信回复我一下吧,2025-11-24 03:37:06,2,1,281133965489,283342016432,115579969085266,CAEiAggC
甲木燃003,2,"罗老师身弱火土财杀旺，今年火年，压力大。
这几年都要多休息，注意身体。",2025-11-24 07:27:30,29,1,281133965489,281463679617,115579969085266,CAEiAggC
汉班子,5,尤其时近几年，感觉肉眼可见的速度憔悴，疲惫感，原来做律师和搞普法时的意气风发彻底没有了。,2025-11-24 12:58:03,35,1,281133965489,283366752656,115579969085266,CAEiAggC
格雷斯白,4,很简单的一个问题：精神病就应该待在精神病院，出院了的就是正常人，无论它是否发病，应该都按正常情况处理！该死刑就死刑！,2025-11-22 16:04:04,36,1,0,283182321184,115579969085266,CAEiAggC
aaaaaaaavvvvvv,5,很多人连精神病和神经病都不分，很多人也不知道精神病种类有很多。[呲牙],2025-11-20 17:15:11,3130,1,0,282999759680,115579969085266,CAEiAggC
平平无奇杨了了,6,精神病是精神状态，神经病是身体状态[doge],2025-11-20 17:41:00,504,1,282999759680,281132510961,115579969085266,CAEiAggC
xiaomozhu,6,事啊，还有间歇性神经病，人家坐上车就有神经病，这个不是南京判的案子。[吃瓜],2025-11-20 17:47:18,52,1,282999759680,281132857041,115579969085266,CAEiAggC
Yolufh,6,回复 @平平无奇杨了了 :也不算这么分的，一个叫精神卫生学，一个叫神经病学，你可以搜搜看,2025-11-20 17:50:15,45,1,281132510961,283002566832,115579969085266,CAEiAggC
塔克隊龍五郎,6,回复 @xiaomozhu :你确定你想说的是神经病不是精神病？,2025-11-20 17:50:48,6,1,281132857041,283002582288,115579969085266,CAEiAggC
今天不更新_,6,回复 @xiaomozhu :你看你就没分清楚精神病和神经病，医学定义里神经病是指神经系统出现问题，比如说无法控制血管肌肉骨骼都健康的肢体，这种算是神经病，像是抑郁症，躁狂症，精神分裂这种主要影响意识和思想的病是被归类到精神病里的[笑哭],2025-11-20 17:54:05,39,1,281132857041,281133511521,115579969085266,CAEiAggC
misori6,6,精神病并不一定神经系统有问题，也就是神经病：而神经系统疾病，往往会导致精神问题，但这类病人往往身体机能很差。相反的是精神病人的身体可以很健壮，危害性高,2025-11-20 17:57:59,40,1,282999759680,283003111664,115579969085266,CAEiAggC
高考英语27分,6,每个行业的人都说一句这样的话，世界全部变傻鸟,2025-11-20 19:12:28,1,1,282999759680,281140194609,115579969085266,CAEiAggC
王子二哈,6,我为什么要分？杀人了就该枪毙了。而且都是病人了，没法给社会做贡献了，更应该枪毙了,2025-11-20 19:46:09,0,1,282999759680,281143118545,115579969085266,CAEiAggC
三角洲专业跑刀接单,4,精神病犯法了就依法判决就行了，本来一个人不正常了就给家庭，单位，社会，亲朋好友带来极大的负担，现在不说道德了，如果连法律都约束不了精神病人，那么他就是一颗定时炸弹，给身边所有正常人带来极大的负担，没人能担保他会不会对自己造成伤害和影响，不论是心理上的还是行为方式上的，现在很多决策者和法官根本没和精神病人相处过，有些严重的就破罐子破摔，利用自己的特殊身份给自己到处谋取利益，祸害别人，正常人也只敢退避三分，自认倒霉，伤敌1000，自损0，谁敢和一个连法律都约束不了的人争论呢？精神病人又不傻，甜头吃多了，就学会拿着这个弱势身份占利，甚至在清醒的时候拿着身份的挡箭牌故意犯错，我们法律不是被光天化日踩在脚下吗,2025-11-20 19:49:08,7,1,282999759680,281143413985,115579969085266,CAEiAggC
明月清泉丶,5,因为以前很多时候骂人意识有问题都是精神病或者神经病，于是人们误以为这两是一个东西,2025-11-20 20:01:53,3,1,282999759680,281144570641,115579969085266,CAEiAggC
dex花水木,6,回复 @平平无奇杨了了 :但实际上口语中有“发神经”这样的说法，导致在不严谨的口语中“神经病”和“精神病”其实大差不差，只是“攻击词汇”而已，没什么人会关注其背后真正对应的弱势群体。或者我们有时候批评一个男人，会说“婆婆妈妈像女人一样”，到底是什么女人，黑皮肤？白皮肤？更何况性格直率雷厉风行的女人也不在少数，不过都是语言中借以攻击主体的客体罢了,2025-11-20 20:13:41,13,1,281132510961,281145602321,115579969085266,CAEiAggC
克林不是大光头,6,别问我们分不分得清，你要问法官分不分得清,2025-11-20 21:03:01,0,1,282999759680,283019844160,115579969085266,CAEiAggC
克林不是大光头,6,抑郁症和某群体抑郁症的区别，你觉得分不清？,2025-11-20 21:03:38,0,1,282999759680,283019803728,115579969085266,CAEiAggC
OmegaXZero,6,很多人也不懂法律，一个人一辈子要学的有很多,2025-11-20 21:35:43,2,1,282999759680,283022635712,115579969085266,CAEiAggC
i王者荣耀-李白,6,都是一样的啊，只是叫法不同,2025-11-20 22:34:09,0,1,282999759680,281157669937,115579969085266,CAEiAggC
qq46825,5,神经病和精神病一样可恶，要么自杀要么杀别人，被情绪所控制把自己恶无限放大，给社会带来危害。,2025-11-20 23:53:24,0,1,282999759680,283034835536,115579969085266,CAEiAggC
9老墨吃鱼6,5,这两种能不能实际区分出来，比如仪器检测出来，或有什么实体依据,2025-11-21 04:15:08,0,1,282999759680,281174126209,115579969085266,CAEiAggC
陈伤初愈,3,回复 @今天不更新_ :抑郁症顶多算心理健康有问题 不纳入精神病范畴的 双相情感障碍是精神病,2025-11-21 05:20:32,0,1,281133511521,281174706625,115579969085266,CAEiAggC
繁花凡树,5,回复 @王子二哈 :但是神经病是医学上的病，包括头痛，神经衰弱，脑溢血，老年痴呆等，跟精神病压根不搭界,2025-11-21 09:53:34,1,1,281143118545,281183813873,115579969085266,CAEiAggC
花果茶冰不冰,5,一个是精神疾病，还有一个是神经病,2025-11-21 09:53:41,0,1,282999759680,283055020080,115579969085266,CAEiAggC
一方通行ACCELERATOR0,5,回复 @平平无奇杨了了 :反了，精神病才是身体状态问题,2025-11-21 10:11:07,2,1,281132510961,281184901857,115579969085266,CAEiAggC
FargaGardner,3,回复 @平平无奇杨了了 :我看过一个日漫，女主有精神分裂症，然后看起来非常冷漠，非常聪明，这就是你说的精神状态对嘛[OK],2025-11-21 23:36:25,0,1,281132510961,281251600369,115579969085266,CAEiAggC
这个氿就是逊啦,5,回复 @ii王者荣耀李白 :不一样的。,2025-11-22 00:56:21,0,1,281157669937,281257581201,115579969085266,CAEiAggC
wen何时,5,如果是唯结果论那一切对人类有害的都应该清掉。不管是精神病还是神经病，哪怕啥病都没只要杀了人那就是对人类有害。,2025-11-22 06:20:51,0,1,282999759680,283140716400,115579969085266,CAEiAggC
CDZ屠苏,5,回复 @misori6 :这你就错了，精神病跟神经系统脱不了关系！,2025-11-22 10:43:33,0,1,283003111664,281279137873,115579969085266,CAEiAggC
卖估衣,6,对，没有病灶的都不该算精神分裂，都可以演戏,2025-11-22 11:23:06,0,1,282999759680,281282194145,115579969085266,CAEiAggC
卖估衣,6,回复 @wen何时 :标准在哪里？唯心主义的，你看看大案，最后都是专家下结论，这是给了一个专家多大的权力！他怎么使用这个权力？他有这个资格吗？需要标准，而标准只能是器质性损伤,2025-11-22 11:25:14,0,1,283140716400,281282490785,115579969085266,CAEiAggC
Bailex,6,罗老师精神状态看起来不是很好啊？一定要注意多休息啊！,2025-11-20 20:56:25,2394,1,0,281149092705,115579969085266,CAEiAggC
赵昊昌明,6,感觉比前两年老了好多,2025-11-20 23:50:57,164,1,281149092705,283034656224,115579969085266,CAEiAggC
白马关路,6,他经历太多了[笑哭],2025-11-21 02:51:07,14,1,281149092705,283043450800,115579969085266,CAEiAggC
珠痕kt,4,是啊，三年前，2022年和余华的那场对话都很精神，现在一看憔悴了好多。,2025-11-21 03:07:17,605,1,281149092705,281172938257,115579969085266,CAEiAggC
Mr提,6,因为椅子问题导致的。,2025-11-21 05:13:43,13,1,281149092705,283045850832,115579969085266,CAEiAggC
真实的怪咖,5,你怕是想多了,2025-11-21 20:04:11,2,1,281149092705,283104719632,115579969085266,CAEiAggC
无惧无欲,3,看起来抑郁症,2025-11-23 23:35:10,1,1,281149092705,281448352497,115579969085266,CAEiAggC
红领巾好孩子唷,6,[灵魂出窍][灵魂出窍]失控真是件可怕的事，但更可怕的是利用这些名义逃脱处罚的正常人。,2025-11-20 11:57:50,47,1,0,282977110768,115579969085266,CAEiAggC
轻音滑滑蛋,5,我一直认为，杀人偿命，欠债还钱，不要扯什么乱七八糟的，那是对被害者的侮辱。,2025-11-20 18:16:21,1054,1,0,281135325297,115579969085266,CAEiAggC
BlithesomeL,6,从唐代就开始注重了……《唐律疏议》等：古代法典通常会规定，对于**“废疾”（如痴、疯等）之人，其犯罪行为可以酌情从轻或减轻处罚，甚至免除刑罚。这主要是基于其辨认和控制能力不足**的伦理判断……,2025-11-21 11:21:04,168,1,281135325297,283060934224,115579969085266,CAEiAggC
风神哦哦哦哦,5,对，所以正当防卫也应该死刑，就不能放过，杀人偿命,2025-11-21 18:17:07,5,1,281135325297,281220879265,115579969085266,CAEiAggC
人参百香果,5,杀人得看在什么样的状态杀人，昆山龙哥忘了吗,2025-11-21 19:13:38,24,1,281135325297,281226475313,115579969085266,CAEiAggC
百华岱函,6,但是很多情况下不是A杀了B这么简单，人为了逃避后果经常会用各种办法，比如经典的借刀杀人,2025-11-21 20:22:16,51,1,281135325297,281233035121,115579969085266,CAEiAggC
麒不Q,5,回复 @百华岱函 :对的，现实很复杂，太过纯粹的武断判决也是有失偏颇的,2025-11-21 23:23:24,26,1,281233035121,283124152416,115579969085266,CAEiAggC
没CP标签就别捡,5,但是从某种意义上来说，精神病人也是受害者啊（受精神病迫害）那种患了无法控制自己行为杀人的精神病人ta的行为不是受自己控制的，是受疾病控制的，这时候你能说这个精神病人有罪吗？不一定，因为ta本身也是个受害者啊。（其实这个跟借刀杀人差不多吧…）,2025-11-22 06:04:15,11,1,281135325297,281265755809,115579969085266,CAEiAggC
兰德鲁小克,6,那唐山龙哥的事，也是杀人偿命吗？特殊情况特殊分析,2025-11-22 06:20:07,3,1,281135325297,281266333169,115579969085266,CAEiAggC
黑丝过敏牢艾,5,你这不是法律，是私愤了，中国自古以来都没有这样判过。比如对方持刀威胁你生命在先，被迫反杀是杀人偿命吗？对方殴打和挑衅辱骂在先，杀人怎么判？再比如开车门突然撞到电动车驾驶员导致死亡怎么判？受到长期家暴的妇女反杀老公，受到性骚扰的妇女反杀性侵者？杀人罪是非常复杂的判罚，不可一概而论,2025-11-22 06:55:40,118,1,281135325297,281267068433,115579969085266,CAEiAggC
谜芈密,5,"这本来就是很复杂的，任何想通过简单的逻辑概括复杂的伦理道德的想法都是耍流氓，不然也不需要那么多学者了

或者说如果你是个有精神疾病的人，在你的视角，你认为自己什么都没干，甚至还乐于助人，可是你就是杀人了，你内心的撕裂感，痛苦，将会再次被死刑的判定无限放大，这对你是不公平的

可是自然的，这对被害者也是不公平的，这也体现了世界有多复杂，“两全”本就是难以实现的。或许我们应该把精神病人犯案看作现实中的因为打滑导致的交通事故，是偶然，随机，且难以被看作“有意 恶意”的",2025-11-22 09:24:59,25,1,281135325297,283148154560,115579969085266,CAEiAggC
Chl0r1ne,6,杀人偿命是一句很反法律的话，复杂案情和特殊属性人群、事物太多，很多事情不是一个杀人偿命就能简单概括的，你有没有想过为什么特殊人群应该被特殊照顾，这也是变相的在保护普通人的权益，相信我你不会想生活在一个残疾人精神病人等人群没有特殊保障的环境里的，往浅了说谁也不知道意外会发生在谁身上，往深了说就是生命价值论、社会道德基本标准对文明和历史的影响，没有吵架，只是你说这话我完全不认可，甚至我觉得这种思想会毒害很多认知不健全自主意识不完善的未成年或者学生，就举个最简单的例子，如果一个精神病被利用杀人，他连自证的能力都没有，道玄的正道理念，宁放过不杀错，无论是于情于理都该是这个道理,2025-11-22 10:23:17,25,1,281135325297,281277634225,115579969085266,CAEiAggC
刘明哇,5,你应该看一下视频的最后几句话。,2025-11-22 13:59:24,6,1,281135325297,281296122737,115579969085266,CAEiAggC
活着只能更痛苦,4,当你得了精神病，而且还意外杀了人的时候，希望你能在监狱里大喊你所发的这条评论。有些东西说多无益，你去切切实实地体验一下就会知道到底是怎么个事儿了,2025-11-22 14:29:57,10,1,281135325297,281298389233,115579969085266,CAEiAggC
玊䵷,4,你现实中一定没有接触过精神病人患者吧，你说这句话就是把精神病人等同于正常人了，精神病患者意识是不受大脑控制的，想让他们看起来正常就必须每天吃药控制大脑，甚至需要偶尔去打针之类的治疗巩固疗程，不然就会做出很多反常的事，从某种意义来说，我觉得精神病人的人格都已经不属他们之前正常的自己了，他们连自己的意识都不能自主操控，有点类似于老年痴呆，都是不可逆的。,2025-11-22 14:40:31,10,1,281135325297,283175421936,115579969085266,CAEiAggC
BlithesomeL,6,回复 @你的麦克风坏了丶 :纯情绪输出不思考，唯结果论，会出一层子问题……比如精神病人在医院接受治疗，因为药物副作用可能产生幻觉（说明书上明确标注了可能产生该副作用），患者拒绝吃药，医院强迫患者吃药，果然出现幻觉，他举刀杀了护士，那么这个时候唯结果论，该判死刑，不冤吗？如果因为器质性病变（比如车祸遭受脑外伤）导致精神问题，一直药物维持未发作，但某天遭受刺激（比如人行横道，但司机想快速过去，突然鸣笛或者急刹，惊吓到患者），他发作突然把另一个人推入车流，导致车祸，这个时候唯结果论，他也要死刑？………,2025-11-22 18:47:35,10,1,283092187712,283197484096,115579969085266,CAEiAggC
大梦无緣,6,哪天有个人冲到你家，大啥特啥，你也别反抗了,2025-11-23 19:57:08,0,1,281135325297,281428331505,115579969085266,CAEiAggC
我要攒够了六便士,5,回复 @黑丝过敏牢艾 :你这不是正当防卫嘛？开门杀也是你的问题啊，开门不看的嘛,2025-11-23 22:48:30,0,1,281267068433,281444122721,115579969085266,CAEiAggC
爱吃炸鸡的欢欣,5,可问题是某些精神病人杀人，是认为素未谋面的被杀者意图谋杀他，然后对其进行谋杀。这种防卫过当怎么判？,2025-11-24 00:58:29,0,1,281135325297,281454456417,115579969085266,CAEiAggC
kirakira小十字,5,"别的就不谈了，欠债还钱就是不可能的。在欠债人没有钱的情况下，什么法律都不可能凭空变出钱让他还。就算把人都拆成零件，还不起的债务还是还不起。你让欠债人劳动还债，也很有可能利息都还不起。
有的时候你应该问问自己，为什么要放债，债权是这个社会要保护的第一对象么？你是不是应该自己为自己的行为负责？

杀人偿命也是一样的，你把精神病人换成意外事故，问题就非常好理解。我们这个世界多的是你死了就是白死，钱借出去就是打水漂的情况，这就是我们这个社会的道德秩序。",2025-11-24 01:14:55,0,1,281135325297,281455454113,115579969085266,CAEiAggC
霜炎工作室,6,这个世界不是什么事都公平，你只能慢慢接受,2025-11-24 01:49:07,4,1,281135325297,283338825408,115579969085266,CAEiAggC
我这什么情况,6,那你就别发表这种低水平言论,2025-11-24 12:53:41,3,1,281135325297,281483183377,115579969085266,CAEiAggC
汉班子,5,"如果不从犯罪者的角度考虑，那就不是法律，是武侠：
赵客缦胡缨，吴钩霜雪明。
银鞍照白马，飒沓如流星。
十步杀一人，千里不留行。
事了拂衣去，深藏身与名。",2025-11-24 13:06:31,2,1,281135325297,283367479120,115579969085266,CAEiAggC
ghl_85437,6,也幸亏你这种人不学法律。,2025-11-24 16:01:15,2,1,281135325297,283379144944,115579969085266,CAEiAggC
浮生若梦_欢几何,6,于是你办理了一个杀手组织，由未成年人，老年人，精神病人，以及汽车杀手，调整汽车算法的人，黑客组成。,2025-11-20 20:27:30,5,1,0,281146661697,115579969085266,CAEiAggC
走路绊石头,6,"为啥一直从犯罪者角度考虑？
不管犯罪者实施犯罪时，精神意志是否清醒
对受害者而言，没有区别吧，难道就白白被杀或被打吗？
老实人活该被欺负？死人没有人权？
就感觉怪怪的，还是论迹不论心比较好吧",2025-11-20 12:45:12,607,1,0,282981275248,115579969085266,CAEiAggC
想成为巨星,5,你说的其实大家都能理解，不过咱们主要讨论的就是犯罪者的这个事儿,2025-11-22 07:54:07,30,1,282981275248,281268692225,115579969085266,CAEiAggC
_银乌鸦_,5,因为法律的目的是教化人，不是单纯的惩罚。如果一个精神病人在完全没有辨认能力，无法自控的情况下犯罪，单纯用法律去宣判他，无法起到教化的目的。你可以去看美国的灰狗巴士案，体会一下那个犯罪的精神病人的感受,2025-11-22 13:41:12,179,1,282981275248,283170579552,115579969085266,CAEiAggC
_银乌鸦_,5,所以面对确实是在无意识情况下犯罪的精神病人多数会选择进行收容医治。关于法律的目的，你可以看一下罗老师为坏人辩护，还有其他一些法律本质的哲学讨论的课,2025-11-22 13:44:05,23,1,282981275248,283170714528,115579969085266,CAEiAggC
_银乌鸦_,5,对于犯罪来说，是否出于主观恶意去伤害人是非常重要的一项评判标准，而精神病人发病状态下有大概率是无主观恶意,2025-11-22 13:46:44,16,1,282981275248,283171048944,115579969085266,CAEiAggC
annybbo,4,你可能对精神病不太了解,2025-11-23 20:20:05,2,1,282981275248,281430494961,115579969085266,CAEiAggC
中立生物啊,5,过失杀人也无主观恶意，为啥要判刑,2025-11-23 22:20:17,7,1,282981275248,283322934208,115579969085266,CAEiAggC
恢恢的猫,6,比方说有个人教傻子玩火，傻子觉得火烧起来很亮很好看，还很暖和，然后那个人跟傻子说某某家院里的木头特好，烧起来更大更好看，傻子去某某家后院点火玩，结果酿成火灾，那这要论迹还是论心呢？论迹傻子得进监狱，而那个串掇他的人就可以逍遥法外。其实本质上就是判断谁在故意欺负人，视频里也说了，精神病患者不发病意识清醒的时候故意去犯罪，也是要进监狱的。精神病只有在发病，认知存在问题的时候犯罪才能免责，这种情况类似走路上突然下冰雹被砸到脑袋死了，他很不幸，但并不是有人要欺负这个老实人往他头上下冰雹。,2025-11-24 01:00:35,17,1,282981275248,281454663537,115579969085266,CAEiAggC
kirakira小十字,5,是的，白白被杀，就跟受害者在交通事故被创死，司机在没有涉嫌犯罪的情况下不可能负刑事责任一样。,2025-11-24 01:05:43,7,1,282981275248,281454857873,115579969085266,CAEiAggC
薄荷天然凉2,5,因为犯罪者同样有人权,2025-11-24 03:37:03,1,1,282981275248,283341858608,115579969085266,CAEiAggC
设计-装机-小岂,5,"就像是说
一个石头从山坡上滚下来砸死了人
如果这个石头是自然形成完全意外的滚下来，受害者不会苛责石头
如果是被人推下来，那么自然需要惩罚推石头的人，无论是故意还是不故意都需要做出处罚
但是，当这个人是个精神病患者，无法控制自己的身体时，就需要探讨，这到底算第一种的自然事件，把这个视为自然的一部分，还是第二种的不故意事件呢？
因为第二种，无论故意不故意，都存在自由意志
但是第一种情况，整个事件完全不涉及自由意志",2025-11-24 05:00:03,14,1,282981275248,283343297376,115579969085266,CAEiAggC
awsl_喵,5,因为法律惩罚的是人的主观恶性。精神病发作是意外事件，而意外事件致人死亡检察院未必起诉。当然如果存在各种过失的可能乃至主观故意，应该还要追究责任,2025-11-24 05:46:36,2,1,282981275248,281461980577,115579969085266,CAEiAggC
超级果叮,6,前辈们我有个疑问：如果是双重人格，坏人格犯罪，教化的时候又是好人格，那不影响他继续犯罪，法律怎么鉴定受教化并且改邪归正的是坏人格呢？此杀人犯若干年后再次杀人，还是可以走精神病这种老路逃避制裁吗？对于受害者而言他两种人格是没区别的，受害者需要的是让他付出代价，而不是你躲在好人格的躯壳里就不能毙了你。以上是我的愚见，可能法律考虑的社会稳定性偏多（毙了不是目的，改正是目的），个人感情不重要（可能类似于杀人偿命不利于社会稳定吧）。,2025-11-24 07:49:55,3,1,282981275248,281464482881,115579969085266,CAEiAggC
大蛤蟆001,5,回复 @_银乌鸦_ :什么时候法律是教化了，教化靠道德，法律主要目的就是惩罚，公平。,2025-11-24 07:58:59,10,1,283170714528,283346815408,115579969085266,CAEiAggC
大蛤蟆001,5,回复 @_银乌鸦_ :对先体谅过错方对面，为啥不体谅被过错方，精神病就呆医院,2025-11-24 08:00:19,1,1,283170579552,283346757728,115579969085266,CAEiAggC
本色Lo,6,回复 @_银乌鸦_ :别教化了，先把安全保证做到了，在提教化吧，,2025-11-24 08:13:46,2,1,283171048944,283347275552,115579969085266,CAEiAggC
zxzxzxmomo,2,回复 @_银乌鸦_ :但是之所以要被教化，不是因为他伤害其他人吗，肯定要考虑到受害者，人家也不能无辜受害,2025-11-24 10:50:00,4,1,283170579552,281473706497,115579969085266,CAEiAggC
血肉之躯嗯,5,你知道什么是“情”么？如果这世界只有你一个人，发疯的就是你自己了。黑暗与光明是共生关系。,2025-11-24 11:59:29,0,1,282981275248,283361532400,115579969085266,CAEiAggC
汉班子,5,"如果不从犯罪者的角度考虑，那就不是法律，是武侠：
赵客缦胡缨，吴钩霜雪明。
银鞍照白马，飒沓如流星。
十步杀一人，千里不留行。
事了拂衣去，深藏身与名。",2025-11-24 13:02:56,0,1,282981275248,283367157952,115579969085266,CAEiAggC
